source_type,source_file,gstin,party_name,invoice_number,invoice_date,document_type,taxable_value,cgst,sgst,igst,cess,total_tax,invoice_value,original_row
ims,IMS_B2B-CN_07AAACP9472A1ZJ_19052025.csv,07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,131,28-04-2025,Credit Note (Accepted),1757.0,105.42,105.42,0.0,0.0,210.84,1968.0,"{""0"": ""07AACCR8869H1ZU"", ""1"": ""ROOPLAXMI SAREES PRIVATE LIMITED"", ""2"": ""131"", ""3"": ""Regular"", ""4"": ""28-04-2025"", ""5"": ""1968"", ""6"": ""Accepted"", ""7"": ""Delhi"", ""8"": ""1757.0"", ""9"": ""0.0"", ""10"": ""105.42"", ""11"": ""105.42"", ""12"": ""0.0"", ""13"": ""GSTR-1/IFF"", ""14"": ""Apr-25"", ""15"": ""Filed"", ""16"": ""Accepted""}"
ims,IMS_B2B-CN_07AAACP9472A1ZJ_19052025.csv,07APRPG2889P1ZV,PUSHPANJALI FASHIONS,145,14-04-2025,Credit Note (Accepted),2242.0,56.05,56.05,0.0,0.0,112.1,2354.0,"{""0"": ""07APRPG2889P1ZV"", ""1"": ""PUSHPANJALI FASHIONS"", ""2"": ""145"", ""3"": ""Regular"", ""4"": ""14-04-2025"", ""5"": ""2354"", ""6"": ""Accepted"", ""7"": ""Delhi"", ""8"": ""2242.0"", ""9"": ""0.0"", ""10"": ""56.05"", ""11"": ""56.05"", ""12"": ""0.0"", ""13"": ""GSTR-1/IFF"", ""14"": ""Apr-25"", ""15"": ""Filed"", ""16"": ""Accepted""}"
ims,IMS_B2B-CN_07AAACP9472A1ZJ_19052025.csv,07APRPG2889P1ZV,PUSHPANJALI FASHIONS,146,22-04-2025,Credit Note (Accepted),3477.0,86.93,86.93,0.0,0.0,173.86,3651.0,"{""0"": ""07APRPG2889P1ZV"", ""1"": ""PUSHPANJALI FASHIONS"", ""2"": ""146"", ""3"": ""Regular"", ""4"": ""22-04-2025"", ""5"": ""3651"", ""6"": ""Accepted"", ""7"": ""Delhi"", ""8"": ""3477.0"", ""9"": ""0.0"", ""10"": ""86.93"", ""11"": ""86.93"", ""12"": ""0.0"", ""13"": ""GSTR-1/IFF"", ""14"": ""Apr-25"", ""15"": ""Filed"", ""16"": ""Accepted""}"
ims,IMS_B2B-CN_07AAACP9472A1ZJ_19052025.csv,07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,50,12-04-2025,Credit Note (Accepted),4206.0,252.36,252.36,0.0,0.0,504.72,4711.0,"{""0"": ""07AACCR8869H1ZU"", ""1"": ""ROOPLAXMI SAREES PRIVATE LIMITED"", ""2"": ""50"", ""3"": ""Regular"", ""4"": ""12-04-2025"", ""5"": ""4711"", ""6"": ""Accepted"", ""7"": ""Delhi"", ""8"": ""4206.0"", ""9"": ""0.0"", ""10"": ""252.36"", ""11"": ""252.36"", ""12"": ""0.0"", ""13"": ""GSTR-1/IFF"", ""14"": ""Apr-25"", ""15"": ""Filed"", ""16"": ""Accepted""}"
ims,IMS_B2B-CN_07AAACP9472A1ZJ_19052025.csv,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,CD-12/04-2025,09-04-2025,Credit Note (Accepted),4840.02,197.49,197.49,0.0,0.0,394.98,5235.0,"{""0"": ""07AAXFS9006M1ZC"", ""1"": ""Suraj Bhan Sunil Kumar And Co"", ""2"": ""CD-12/04-2025"", ""3"": ""Regular"", ""4"": ""09-04-2025"", ""5"": ""5235"", ""6"": ""Accepted"", ""7"": ""Delhi"", ""8"": ""4840.02"", ""9"": ""0.0"", ""10"": ""197.49"", ""11"": ""197.49"", ""12"": ""0.0"", ""13"": ""GSTR-1/IFF"", ""14"": ""Apr-25"", ""15"": ""Filed"", ""16"": ""Accepted""}"
ims,IMS_B2B-CN_07AAACP9472A1ZJ_19052025.csv,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,CD-197/04-2025,23-04-2025,Credit Note (Accepted),4575.9,274.55,274.55,0.0,0.0,549.1,5125.0,"{""0"": ""07AAXFS9006M1ZC"", ""1"": ""Suraj Bhan Sunil Kumar And Co"", ""2"": ""CD-197/04-2025"", ""3"": ""Regular"", ""4"": ""23-04-2025"", ""5"": ""5125"", ""6"": ""Accepted"", ""7"": ""Delhi"", ""8"": ""4575.9"", ""9"": ""0.0"", ""10"": ""274.55"", ""11"": ""274.55"", ""12"": ""0.0"", ""13"": ""GSTR-1/IFF"", ""14"": ""Apr-25"", ""15"": ""Filed"", ""16"": ""Accepted""}"
ims,IMS_B2B-CN_07AAACP9472A1ZJ_19052025.csv,07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,CN/193/25-26,21-04-2025,Credit Note (Accepted),14685.0,881.1,881.1,0.0,0.0,1762.2,16447.0,"{""0"": ""07AACCR8869H1ZU"", ""1"": ""ROOPLAXMI SAREES PRIVATE LIMITED"", ""2"": ""CN/193/25-26"", ""3"": ""Regular"", ""4"": ""21-04-2025"", ""5"": ""16447"", ""6"": ""Accepted"", ""7"": ""Delhi"", ""8"": ""14685.0"", ""9"": ""0.0"", ""10"": ""881.1"", ""11"": ""881.1"", ""12"": ""0.0"", ""13"": ""GSTR-1/IFF"", ""14"": ""Apr-25"", ""15"": ""Filed"", ""16"": ""Accepted""}"
ims,IMS_B2B-CN_07AAACP9472A1ZJ_19052025.csv,07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSISC25-26-00142,15-04-2025,Credit Note (Accepted),15765.0,394.13,394.13,0.0,0.0,788.26,16553.0,"{""0"": ""07AAMFJ9163F1Z1"", ""1"": ""JAGDISH AND SONS INDIA LLP"", ""2"": ""JSISC25-26-00142"", ""3"": ""Regular"", ""4"": ""15-04-2025"", ""5"": ""16553"", ""6"": ""Accepted"", ""7"": ""Delhi"", ""8"": ""15765.0"", ""9"": ""0.0"", ""10"": ""394.13"", ""11"": ""394.13"", ""12"": ""0.0"", ""13"": ""GSTR-1/IFF"", ""14"": ""Apr-25"", ""15"": ""Filed"", ""16"": ""Accepted""}"
ims,IMS_B2B-CN_07AAACP9472A1ZJ_19052025.csv,07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSISC25-26-00310,30-04-2025,Credit Note (Accepted),28900.0,722.5,722.5,0.0,0.0,1445.0,30345.0,"{""0"": ""07AAMFJ9163F1Z1"", ""1"": ""JAGDISH AND SONS INDIA LLP"", ""2"": ""JSISC25-26-00310"", ""3"": ""Regular"", ""4"": ""30-04-2025"", ""5"": ""30345"", ""6"": ""Accepted"", ""7"": ""Delhi"", ""8"": ""28900.0"", ""9"": ""0.0"", ""10"": ""722.5"", ""11"": ""722.5"", ""12"": ""0.0"", ""13"": ""GSTR-1/IFF"", ""14"": ""Apr-25"", ""15"": ""Filed"", ""16"": ""Accepted""}"
ims,IMS_B2B-CN_07AAACP9472A1ZJ_19052025.csv,07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSISJC25-26-0058,16-04-2025,Credit Note (Accepted),1085.0,65.1,65.1,0.0,0.0,130.2,1215.0,"{""0"": ""07AAMFJ9163F1Z1"", ""1"": ""JAGDISH AND SONS INDIA LLP"", ""2"": ""JSISJC25-26-0058"", ""3"": ""Regular"", ""4"": ""16-04-2025"", ""5"": ""1215"", ""6"": ""Accepted"", ""7"": ""Delhi"", ""8"": ""1085.0"", ""9"": ""0.0"", ""10"": ""65.1"", ""11"": ""65.1"", ""12"": ""0.0"", ""13"": ""GSTR-1/IFF"", ""14"": ""Apr-25"", ""15"": ""Filed"", ""16"": ""Accepted""}"
