source_type,source_file,gstin,party_name,invoice_number,invoice_date,document_type,taxable_value,cgst,sgst,igst,cess,total_tax,invoice_value,original_row
tally,Purchase_details.xlsx [Purchase Register],07AACCR8869H1ZU,Roop Laxmi Sarees Private Limited,16,,Purchase,,,,,,,,"{""Date"": ""2025-04-01 00:00:00"", ""Particulars"": ""Roop Laxmi Sarees Private Limited"", ""Supplier"": ""Roop Laxmi Sarees Private Limited"", ""Supplier Address"": ""4247, Patli Gali Chowk, Jogiwara, Nai Sarak, North Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""50/2025-26"", ""Supplier Invoice No."": ""16"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AACCR8869H1ZU"", ""Sales Tax No."": null, ""PAN No."": ""AACCR8869H"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAMFJ9163F1Z1,Jagdish & Sons India LLP,23,,Purchase,,,,,,,,"{""Date"": ""2025-04-01 00:00:00"", ""Particulars"": ""Jagdish & Sons India LLP"", ""Supplier"": ""Jagdish & Sons India LLP"", ""Supplier Address"": ""985-987, 1st Floor, Bhojpura, Maliwara, Central Delhi, Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""51/2025-26"", ""Supplier Invoice No."": ""23"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAMFJ9163F1Z1"", ""Sales Tax No."": null, ""PAN No."": ""AAMFJ9163F"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAMFJ9163F1Z1,Jagdish & Sons India LLP,31,,Purchase,,,,,,,,"{""Date"": ""2025-04-01 00:00:00"", ""Particulars"": ""Jagdish & Sons India LLP"", ""Supplier"": ""Jagdish & Sons India LLP"", ""Supplier Address"": ""985-987, 1st Floor, Bhojpura, Maliwara, Central Delhi, Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""52/2025-26"", ""Supplier Invoice No."": ""31"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAMFJ9163F1Z1"", ""Sales Tax No."": null, ""PAN No."": ""AAMFJ9163F"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],19AADCS6517N1ZT,Sarvottam Sarees (P) Ltd,61,,Purchase,,,,,,,,"{""Date"": ""2025-04-01 00:00:00"", ""Particulars"": ""Sarvottam Sarees (P) Ltd"", ""Supplier"": ""Sarvottam Sarees (P) Ltd"", ""Supplier Address"": ""103, 3rd, Ravi Auto House, Park Street, Kolkata"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""53/2025-26"", ""Supplier Invoice No."": ""61"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""19AADCS6517N1ZT"", ""Sales Tax No."": null, ""PAN No."": ""AADCS6517N"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T36,,Purchase,,,,,,,,"{""Date"": ""2025-04-02 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""54/2025-26"", ""Supplier Invoice No."": ""T36"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T202,,Purchase,,,,,,,,"{""Date"": ""2025-04-02 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""55/2025-26"", ""Supplier Invoice No."": ""T202"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07APRPG2889P1ZV,Pushpanjali Fashion,6,,Purchase,,,,,,,,"{""Date"": ""2025-04-04 00:00:00"", ""Particulars"": ""Pushpanjali Fashion"", ""Supplier"": ""Pushpanjali Fashion"", ""Supplier Address"": ""4369/71, Ground Floor, Gali Bhairo Wali Patli Gali,, Nai Sadak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""56/2025-26"", ""Supplier Invoice No."": ""6"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07APRPG2889P1ZV"", ""Sales Tax No."": null, ""PAN No."": ""APRPG2889P"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AACCR8869H1ZU,Roop Laxmi Sarees Private Limited,228,,Purchase,,,,,,,,"{""Date"": ""2025-04-04 00:00:00"", ""Particulars"": ""Roop Laxmi Sarees Private Limited"", ""Supplier"": ""Roop Laxmi Sarees Private Limited"", ""Supplier Address"": ""4247, Patli Gali Chowk, Jogiwara, Nai Sarak, North Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""57/2025-26"", ""Supplier Invoice No."": ""228"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AACCR8869H1ZU"", ""Sales Tax No."": null, ""PAN No."": ""AACCR8869H"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T410,,Purchase,,,,,,,,"{""Date"": ""2025-04-04 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""58/2025-26"", ""Supplier Invoice No."": ""T410"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T454,,Purchase,,,,,,,,"{""Date"": ""2025-04-04 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""59/2025-26"", ""Supplier Invoice No."": ""T454"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
